2025-06-13 10:00:00 - 11:00:00
"objid","name_prefix","name","ra","declination","redshift","typeid","type","reporting_groupid","reporting_group","source_groupid","source_group","discoverydate","discoverymag","discmagfilter","filter","reporters","time_received","internal_names","Discovery_ADS_bibcode","Class_ADS_bibcodes","creationdate","lastmodified"
"181158","AT","2025mza","322.6863791","37.6067101","","","","48","ZTF","48","ZTF","2025-05-31 10:13:57.996","19.9523","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-06 03:03:49","ZTF25aatilat, ZTF25aauspiz","2025TNSTR2125....1S","","2025-06-06 03:03:52","2025-06-13 10:49:59"
"181485","AT","2025nlb","324.557851","35.8534401","","","","48","ZTF","48","ZTF","2025-06-12 10:27:45.000","19.7379","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 10:49:44","ZTF25aauscfu","","","2025-06-13 10:49:46","2025-06-13 10:49:46"
"181484","AT","2025nla","285.32563319","52.5011340047","","","","4","Pan-STARRS","4","Pan-STARRS","2025-06-01 12:56:38.112","20.57","26","w","K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, P. Minguez, G. Paek, A. Schultz, I. A. Smith, R. J. Wainscoat (IfA, University of Hawaii), S. J. Smartt, K. W. Smith (University of Oxford / Queen's University Belfast), S. Srivastav (University of Oxford), D. R. Young, M. Fulton, M. Nicholl, T. Moore, J. Weston, C. R. Angus (Queen's University Belfast)","2025-06-13 10:49:03","PS25dhb","","","2025-06-13 10:49:05","2025-06-13 10:49:05"
"180296","SN","2025lsf","216.998611668","5.64715524611","0.05","10","SN II","59","GOTO","59","GOTO","2025-05-23 11:22:48.288","19.4","120","L","G. Ramsay, D. O'Neill, K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, A. Kumar, M. Pursiainen, on behalf of GOTO collaboration","2025-05-24 12:30:38","GOTO25dad, ATLAS25fjx, ZTF25aarefui, PS25cwf, BGEM J142759.68+053849.6","2025TNSTR1940....1R","2025TNSCR2126....1M, 2025TNSCR2161....1M","2025-05-24 12:30:40","2025-06-13 10:48:05"
"178783","AT","2025jov","311.586717205","-27.5079854279","","","","18","ATLAS","18","ATLAS","2025-05-03 08:07:12.576","18.987","72","orange","J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)","2025-05-03 17:38:47","ATLAS25eoy, GOTO25cih, PS25dha","2025TNSTR1641....1T","","2025-05-03 17:38:48","2025-06-13 10:47:11"
"177516","AT","2025htp","319.081300789","2.27294638494","","","","48","ZTF","48","ZTF","2025-03-20 12:30:26.003","18.8857","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-04-20 14:45:00","ZTF25aajoerz, PS25dgz","2025TNSTR1454....1S","","2025-04-20 14:45:02","2025-06-13 10:46:39"
"171667","AT","2025aqy","348.355133619","17.651092946","","","","48","ZTF","48","ZTF","2025-02-01 02:35:41.999","19.086","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-02-02 07:03:15","ZTF25aadupwg, PS25dgy","2025TNSTR.452....1S","","2025-02-02 07:03:17","2025-06-13 10:45:51"
"181483","AT","2025nkz","198.879173196","7.00435629488","","","","4","Pan-STARRS","4","Pan-STARRS","2025-05-25 06:39:36.864","20.36","26","w","K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, P. Minguez, G. Paek, A. Schultz, I. A. Smith, R. J. Wainscoat (IfA, University of Hawaii), S. J. Smartt, K. W. Smith (University of Oxford / Queen's University Belfast), S. Srivastav (University of Oxford), D. R. Young, M. Fulton, M. Nicholl, T. Moore, J. Weston, C. R. Angus (Queen's University Belfast)","2025-06-13 10:44:40","PS25dgx","","","2025-06-13 10:44:42","2025-06-13 10:44:42"
"181482","AT","2025nky","235.104232347","10.1693810382","","","","4","Pan-STARRS","4","Pan-STARRS","2025-05-25 07:50:32.928","20.43","26","w","K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, P. Minguez, G. Paek, A. Schultz, I. A. Smith, R. J. Wainscoat (IfA, University of Hawaii), S. J. Smartt, K. W. Smith (University of Oxford / Queen's University Belfast), S. Srivastav (University of Oxford), D. R. Young, M. Fulton, M. Nicholl, T. Moore, J. Weston, C. R. Angus (Queen's University Belfast)","2025-06-13 10:43:28","PS25dgw","","","2025-06-13 10:43:30","2025-06-13 10:43:30"
"179883","AT","2025lci","209.17275271","1.6057972614","","","","154","WFST","154","WFST","2025-05-15 17:15:21.600","21.26","152","g","Zelin Xu, Dezheng Meng, Ji-an Jiang, Weiyu Wu, Zhengyan Liu, Junhan Zhao, Ziqing Jia (USTC) on behalf of the WFST collaboration","2025-05-22 08:57:07","WFST0606ihtm, ZTF25aaspgnz, PS25dgv","2025TNSTR1900....1X","","2025-05-22 08:58:26","2025-06-13 10:42:46"
"181253","AT","2025ncr","343.018355751","3.77834406089","","","","74","ALeRCE","48","ZTF","2025-06-08 09:47:05.004","20.0359","110","g","F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker","2025-06-08 20:57:59","ZTF25aatrwfx, PS25dgu","2025TNSTR2138....1F","","2025-06-08 20:58:17","2025-06-13 10:42:04"
"181481","AT","2025nkx","120.133288667","-19.6593766667","","","","18","ATLAS","18","ATLAS","2025-05-31 17:24:44.928","18.72","72","orange","J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)","2025-06-13 10:14:41","ATLAS25gcd","","","2025-06-13 10:14:42","2025-06-13 10:14:42"
